Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Cluster,PCA1,PCA2
greedy,greedy,Tate McRae,9/14/2023,USRC12301932,18,293.7,1258569694.0,105218.0,198845580.0,87.0,141646818.0,"1,514,837","2,294,429","419,319,161",5456156211.0,"2,667,285,437",207.0,"667,329","3,310",188.0,"21,788,568",150.0,44850379.0,"12,270",3224599.0,6973652.0,,1.0,1,3.5364506022405457,1.1665027200008493
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401996,19,292.6,91272461.0,6499.0,52287548.0,86.0,16038053.0,"569,377","941,900","119,740,900",1225345800.0,"5,839,168",76.0,181,1,24.0,"5,054,005",33.0,283089.0,162,975891.0,257661.0,,0.0,0,-0.8015166810136786,-0.5422349023485473
As It Was,As It Was,Harry Styles,3/31/2022,USSM12200612,20,292.0,3301814535.0,407119.0,169783402.0,87.0,800899315.0,"9,101,589","2,755,903","1,633,970,617",15405881843.0,"7,289,707,052",455.0,"1,777,811","4,909",330.0,"12,907,852",189.0,132624772.0,"79,909",3224599.0,14967379.0,,0.0,1,8.14898282009151,-0.3097036801053487
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,USRC12300907,21,290.5,1065399331.0,170890.0,121712197.0,78.0,240970670.0,"2,749,668","3,091,732","652,428,798",7095564106.0,"1,063,591,802",158.0,"400,899",273,143.0,"13,718,632",146.0,70291476.0,"49,111",3224599.0,7559816.0,,1.0,1,2.937064363388582,1.1424324375366235
Espresso,Espresso,Sabrina Carpenter,4/12/2024,USUM72403305,22,281.5,547882871.0,24425.0,262343414.0,95.0,107550212.0,"1,825,761","209,200","169,144,295",1379499000.0,"422,646,034",298.0,"37,208",236,167.0,"41,414,565",149.0,10362898.0,"10,848",1551157.0,1373085.0,,1.0,1,2.697830502478066,1.1772440592679743
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,5/21/2024,TCJPA2445163,23,279.0,1655575417.0,10.0,655.0,,148269610.0,,,,265917250.0,,,,,,,,12735768.5,,3224599.0,854584.0,,1.0,0,0.061578585673056706,0.9341995255086745
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,USSM12401302,24,278.9,426700979.0,34044.0,152928632.0,86.0,35724356.0,"437,980","1,470,500","485,200,392",6518604175.0,"1,213,175,656",159.0,"309,497",257,194.0,"40,725,482",177.0,13860535.0,"36,282",3224599.0,2100708.0,,1.0,0,1.2578640650901871,1.1172054042665998
Future,Future,official sound studio,1/10/2024,RUA1H2415548,25,277.5,239850720.0,1.0,2.0,,148269610.0,,"9,453,333","273,236,305",4306269694.0,,,,,,,,12735768.5,,3224599.0,854584.0,,0.0,0,-1.2469341109530323,-0.6476982927331197
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,BXWEH2200054,26,268.1,7382759.0,3504.0,661084.0,35.0,4233958.0,"69,990","37,621,885","1,636,811,753",22918660728.0,,1.0,,439,1.0,6,1.0,12735768.5,,3224599.0,633525.0,,0.0,0,-1.3959508813692287,-0.7098727720529641
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,USSM12103949,27,266.3,3107100349.0,451732.0,134793519.0,78.0,1256973582.0,"14,661,425","7,485,966","2,246,991,336",23712377029.0,"4,327,058,646",513.0,"1,510,151","4,096",166.0,"5,783,693",128.0,196783487.0,"124,922",36341585.0,854584.0,,1.0,1,7.670586514720865,2.2871659940843996
