Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Cluster,PCA1,PCA2
THE DINER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401989,790,54.7,66101468.0,3693.0,9878576.0,84.0,4252419.0,"117,031",180,"1,800,000",11200000.0,"934,654",45.0,195,16,5.0,"56,919",9.0,184455.0,248,685021.0,52008.0,,0.0,0,-1.4355945041820855,-0.5800655109133461
6 In the Morning (feat. Nate Dogg),6 In the Morning (feat. Nate Dogg) - Single,Flex (UK),5/17/2024,GBARL2400669,785,54.7,4505404.0,1248.0,19427406.0,64.0,148269610.0,,,,265917250.0,,2.0,25,,2.0,"34,694",31.0,12735768.5,,3150291.0,24801.0,,1.0,0,-1.2511752610737914,0.938843558781627
Light Switch,Light Switch (Instrumental),Charlie Puth,1/19/2022,USAT22107359,782,54.7,593554969.0,84288.0,17284885.0,67.0,284499511.0,"3,909,648","506,518","475,880,505",4729678365.0,"3,277,338,062",98.0,"201,936",866,30.0,"685,471",48.0,55256200.0,"10,657",2916780.0,2231820.0,,0.0,0,0.14399946481302672,-0.5699756719865706
"Pushpa Pushpa (From ""Pushpa 2 The Rule"") [HINDI]","Pushpa Pushpa (From ""Pushpa 2 The Rule"") [HINDI]",Mika Singh,5/1/2024,INS182401375,783,54.7,1852457.0,79.0,3399376.0,,57254911.0,"1,254,450",,,265917250.0,,,91,,,,11.0,12735768.5,,3224599.0,4169.0,,0.0,0,-1.5335109743646935,-0.551534810766074
On Me,On Me,Lil Baby,12/4/2020,USUG12004399,788,54.7,368017246.0,105732.0,15129396.0,67.0,227182263.0,"1,554,044","163,221","22,024,839",198936453.0,"37,367,982",57.0,"178,634",372,9.0,"32,400",6.0,141610948.0,"45,141",53891709.0,1728476.0,,1.0,0,0.6017993902148004,2.6007159606085946
when the party's over,when the party's over,Billie Eilish,10/17/2018,USUM71815958,787,54.7,1845938685.0,186633.0,79124996.0,79.0,931398498.0,"13,775,924","1,622,629","210,787,744",1349258289.0,"750,592,461",163.0,"24,691",55,62.0,"398,168",32.0,139323553.0,"150,239",3224599.0,5811377.0,,0.0,1,3.5232499187408655,-0.6723863728900498
Love The Way You Lie,538 Hitzone 55,Eminem,1/1/2010,USUM71015397,784,54.7,1532052160.0,236943.0,76167038.0,79.0,3009144927.0,"15,864,764","208,118","23,435,916",223136013.0,"254,272,987",84.0,"4,437",,67.0,"669,362",49.0,800108842.0,"1,358,251",1991336.0,10011625.0,,1.0,1,6.3877176501825685,-0.5531005071405443
Party,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214885,789,54.7,725076772.0,83311.0,29009374.0,72.0,296661885.0,"2,150,658","705,800","287,983,296",3014389754.0,"22,621,115",51.0,"39,010",150,15.0,"1,934,966",19.0,64496554.0,"17,065",3224599.0,1467014.0,,0.0,0,0.39250624059693384,-0.5280498061247247
Make You Mine,Make You Mine,Madison Beer,2/9/2024,USSM12400758,786,54.7,127909006.0,13354.0,49984859.0,,26653465.0,"788,713",,"12,674,158",295301300.0,"191,049,109",78.0,"31,924",7,84.0,"9,231,885",42.0,4474757.0,"1,113",3224599.0,1031888.0,,0.0,0,-0.6787989473412791,-0.4769927451216726
Freaks,Freaks,Surf Curse,5/15/2021,USAT22102269,791,54.6,1089328286.0,200016.0,33498182.0,77.0,256738121.0,"4,601,685",511,"265,535",2110692.0,"4,098,036",25.0,"10,305",453,11.0,"10,105",25.0,15296063.0,"15,812",3224599.0,4341439.0,,0.0,1,1.6039112282234995,-0.2548896347094303
In Da Getto,In Da Getto,J Balvin,7/2/2021,QZM5U2100095,792,54.6,484375103.0,133279.0,27602101.0,61.0,218975838.0,"3,159,820","1,920,220","452,069,335",6219918723.0,"90,132,395",131.0,"69,511",795,43.0,"354,884",58.0,43024314.0,"14,600",3224599.0,7336982.0,,0.0,0,0.7672252921764049,-0.5322053234971981
Chale,Chale - Single,Eden Muï¿½ï,2/18/2022,MXB952200017,794,54.5,414104069.0,33044.0,18247093.0,67.0,665626745.0,"2,889,082","968,864","248,485,504",2953043191.0,"28,563,266",18.0,"17,222",361,4.0,"196,022",43.0,40508092.0,"7,944",2525726.0,854584.0,,0.0,0,-0.33335536786672587,-0.8420017215196894
Try That In A Small Town,Try That In A Small Town,Jason Aldean,5/19/2023,QMRSZ2300454,793,54.5,66418201.0,20547.0,1758957.0,37.0,59550101.0,"1,432,480",,,265917250.0,"803,299,613",5.0,"174,811",46,1.0,"79,460",2.0,106455054.0,"62,007",1370492.0,264899.0,,1.0,0,-1.0899058553197285,0.9060540393549238
Tarot,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214881,796,54.3,742515730.0,93128.0,28604664.0,73.0,275203830.0,"1,499,544","940,020","241,093,278",2486183983.0,"22,246,842",39.0,"10,091",,4.0,"178,868",7.0,36599355.0,"3,147",3224599.0,959597.0,,1.0,0,0.37617524204844016,1.0548446346994265
Mas Existe um Lugar,Mas Existe um Lugar - Single,Kaio Viana,3/23/2023,SGB502340678,795,54.3,24963236.0,5624.0,1097527.0,48.0,96957064.0,"1,319,260","3,177,849","39,336,848",670846125.0,"6,083,511",2.0,,,,,1.0,12735768.5,,3224599.0,228158.0,,1.0,0,-1.453212598935181,0.9515293947471795
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/9/2024,USSM12401303,798,54.3,425058273.0,2563.0,11967164.0,,46791219.0,"643,498",,,265917250.0,"987,644,203",63.0,,,3.0,"35,655",,13815433.0,"36,200",3224599.0,854584.0,,0.0,0,-0.9619904565089273,-0.5432665363075183
Petit gï¿½ï¿,Petit gï¿½ï¿,Jungeli,8/4/2023,QMBZ92393247,797,54.3,159181956.0,29011.0,10943796.0,74.0,159092284.0,"820,029","12,100","2,709,265",37717213.0,"201,180,033",38.0,"29,970",,46.0,"20,176,323",46.0,12735768.5,,3224599.0,3454084.0,,1.0,0,-0.8254206298715917,0.9155514359217001
Bura Na Mano Holi Hai,Bura Na Mano Holi Hai,Shaan,2/4/2023,ING642301070,801,54.2,125047.0,6.0,44905.0,14.0,659724253.0,"4,199,987",,,265917250.0,"4,618,100",,2,,,,,12735768.5,,3224599.0,262.0,,0.0,0,-1.3231013099818485,-0.8640262488214876
ýýý,Show - Single,Ado,9/6/2023,JPPO02302806,800,54.2,114381380.0,15725.0,4390255.0,67.0,230252306.0,"1,606,934","286,300","41,518,862",613717046.0,"548,853,137",33.0,507,,1.0,"1,802",7.0,12735768.5,,3224599.0,270400.0,,0.0,0,-1.216107643256067,-0.6109464091931831
Breaking the Habit,Papercuts,Linkin Park,4/12/2024,USWB12401898,802,54.2,428629823.0,2.0,454.0,,148269610.0,,,,265917250.0,,,,,,,,12735768.5,,3224599.0,1649113.0,,0.0,0,-1.049147356346235,-0.6305073489147889
Work,ANTI (Deluxe),Rihanna,1/28/2016,QM5FT1600116,799,54.2,1399521364.0,144823.0,46076265.0,73.0,1662063771.0,"10,770,107","3,515","6,820,574",36448419.0,"244,639,723",432.0,"3,418",104,135.0,"1,255,495",77.0,603707599.0,"736,551",3224599.0,8814930.0,,1.0,1,4.0798853925724785,0.06023467348765987
Normal,Normal,Feid,7/8/2022,USUM72211935,804,54.1,724772954.0,76821.0,31039211.0,76.0,395704504.0,"1,556,356","86,775","25,803,660",237386912.0,"472,550,280",59.0,"28,567",239,22.0,"4,507,712",32.0,9638456.0,"2,516",3224599.0,956990.0,,1.0,0,0.24756328509951644,0.9891673625773394
LALALALA,ROCK-STAR,Stray Kids,11/10/2023,US5TA2300151,803,54.1,154592041.0,10814.0,10289612.0,,161998287.0,"2,825,345","184,200","94,512,843",430312931.0,"770,557,253",7.0,"3,470",11,6.0,"249,201",38.0,1737006.0,"2,335",952946.0,279165.0,,0.0,0,-1.2096303677055291,-0.6438160372165199
Sum 2 Prove,Sum 2 Prove,Lil Baby,1/10/2020,USUG11902886,807,54.0,444934033.0,141088.0,17349295.0,66.0,411628542.0,"2,868,681","191,154","26,909,802",238372502.0,"7,285,479",63.0,"65,318",37,14.0,"145,275",6.0,124269386.0,"38,557",68048035.0,1925871.0,,1.0,0,1.1001374568555136,3.0289155792602256
Lottery (Renegade),Lottery,K CAMP,4/1/2019,USUYG1247701,808,54.0,173526912.0,28272.0,6607554.0,46.0,102774513.0,"1,300,907","13,802,112","663,362,447",6653535769.0,"40,852",20.0,120,46,12.0,"39,746",2.0,41431663.0,"171,614",3224599.0,1592457.0,,1.0,0,-0.8943827035695354,0.9162023092449326
Meant to Be (feat. Florida Georgia Line),All Your Fault: Pt. 2,Bebe Rexha,8/11/2017,USWB11701181,805,54.0,1382191196.0,119969.0,51471665.0,66.0,1318325154.0,"6,888,667","624,291","24,379,364",260253261.0,"1,408,688,467",5.0,"201,437",652,39.0,"220,305",64.0,611963837.0,"298,341",3224599.0,854584.0,,0.0,1,3.3585545458976207,-1.1588138757229616
Good Days,Good Days,SZA,12/25/2020,USRC12004189,806,54.0,1105805922.0,164541.0,62561721.0,77.0,295872840.0,"2,947,859","534,634","157,378,144",920329965.0,"42,909,616",231.0,"62,354",266,52.0,"281,696",54.0,71061814.0,"56,012",8937770.0,2548829.0,,1.0,1,1.8847456772223028,1.380355712664328
Leave Before You Love Me (with Jonas Brothers),Summer 2021,Marshmello,4/28/2021,USUG12102313,810,53.9,844630935.0,94185.0,54080564.0,74.0,269892715.0,"2,020,373","71,293","17,326,017",182430905.0,"993,825,483",147.0,"380,249",940,21.0,"620,249",27.0,139703215.0,"15,853",3224599.0,7138195.0,,0.0,1,1.408709125403187,-0.6057439793175206
Youngblood,Youngblood,5 Seconds of Summer,4/12/2018,GBUM71800366,811,53.9,1790579305.0,180069.0,75602805.0,76.0,792369989.0,"7,627,895","226,361","15,100,678",81167209.0,"225,749,952",148.0,"298,540",164,33.0,"444,155",64.0,394705510.0,"159,091",3224599.0,10854729.0,,0.0,1,4.266954349623918,-0.8467017946303481
Sweater Weather,I'm Sorry...,The Neighbourhood,1/1/2012,USSM11300080,809,53.9,2916412507.0,415650.0,149359220.0,85.0,1648485745.0,"18,338,729","1,248,637","324,536,571",2911383718.0,"71,486,828",189.0,"61,334",39,114.0,"604,895",9.0,384534750.0,"719,472",2565635.0,854584.0,,0.0,1,7.6971545724183885,-0.4743346512302381
Merayu Tuhan,Merayu Tuhan,Tri Suaka,8/15/2023,QZYFZ2347514,813,53.8,8517888.0,506.0,74157.0,43.0,71408616.0,"296,903","2,200,000","17,612,619",540360680.0,"45,212,529",,264,,,,,12735768.5,,3224599.0,20886.0,,0.0,0,-1.560047817418047,-0.563541721808517
If We Being Rï¿½ï,2093,Yeat,2/16/2024,USUM72401643,812,53.8,92517121.0,10195.0,13681051.0,80.0,4695846.0,"79,415",,,265917250.0,,19.0,584,,10.0,"1,802,148",3.0,167577.0,"1,061",5704007.0,1371705.0,,1.0,0,-1.1805510364891292,1.0825122578245179
Can We Kiss Forever?,Can We Kiss Forever?,Kina,8/31/2018,USSM11914456,815,53.7,634493511.0,89559.0,32092279.0,66.0,325005278.0,"4,709,406","11,714,753","557,393,131",6459413096.0,"12,749,911",48.0,101,43,36.0,"344,770",,34039218.0,"29,304",3224599.0,8659169.0,,0.0,0,0.7633346585435393,-0.7040141939162432
Felices los 4,Felices los 4,Maluma,4/21/2017,USSD11700134,814,53.7,932817713.0,73487.0,24333265.0,68.0,2349558424.0,"9,318,868","206,344","18,309,676",177718441.0,"341,943,201",100.0,"19,135",122,53.0,"1,133,769",62.0,251569141.0,"201,061",3224599.0,5644479.0,,0.0,1,2.042534911760612,-1.7653090658278505
Mariposita,Mariposita,La Vaca Lola,3/4/2021,QZDA62161038,820,53.6,239850720.0,32312.5,13259481.0,,1562650492.0,"3,425,982",7,26,747.0,,,21,,,,,12735768.5,,3224599.0,854584.0,,0.0,0,-0.26698738020806423,-1.2546267830340305
Relaciï¿½,Relaciï¿½,Sech,4/2/2020,QM9WM2000013,821,53.6,468900803.0,62750.0,12074538.0,60.0,1137550621.0,"7,566,148","2,205,109","110,809,435",1052766873.0,"125,135,301",29.0,"6,654",31,16.0,"175,086",2.0,117125054.0,"20,214",3224599.0,1507000.0,,0.0,0,0.27341288659380936,-1.0379172608640153
ELOVRGA,Elovrga - Single,Alex Favela,8/18/2023,QZNFJ2303104,819,53.6,333899135.0,24862.0,20963358.0,75.0,180084509.0,"900,128","152,867","82,946,328",704890346.0,"246,991,766",14.0,"2,919",,11.0,"1,680,860",4.0,1736093.0,"1,447",168994.0,967858.0,,1.0,0,-0.7416474260556116,0.8716310840935589
Party Girl,Party Girl,StaySolidRocky,4/21/2020,USSM12002247,816,53.6,730440576.0,115574.0,16306099.0,67.0,199161217.0,"2,037,639","6,782,670","391,923,611",3194124847.0,"23,072,079",62.0,"16,774",90,15.0,"43,249",10.0,8510801.0,"72,500",3224599.0,1963555.0,,0.0,0,0.295088060676227,-0.40503945958747845
I Feel It Coming,I Feel It Coming,The Weeknd,11/17/2016,USUG11601012,817,53.6,1749088490.0,193568.0,52373071.0,72.0,1489647996.0,"7,616,181",,"2,430",36437.0,"287,132,059",298.0,"130,551",212,123.0,"980,454",46.0,230834970.0,"108,406",7851939.0,17963628.0,,0.0,1,4.33296898948546,-1.1394866215756139
Get In With Me,Get In With Me - Single,Bossman Dlow,1/19/2024,USQX92400087,818,53.6,39401314.0,7442.0,18628678.0,,45484183.0,"363,079",,"7,309,300",46178900.0,"305,726,555",31.0,"68,432","2,757",6.0,"905,095",34.0,10802316.0,"10,738",3224599.0,607813.0,,1.0,0,-1.2023242045368228,0.9968767357019938
Agua (with J Balvin),"Agua (with J Balvin) [Music From ""Sponge On The Run"" Movie]",Tainy,7/9/2020,USUM72013642,822,53.5,391856304.0,68311.0,11888692.0,58.0,1040938222.0,"8,443,453","2,490,398","109,826,716",1423789944.0,"329,599,890",73.0,"23,516",309,17.0,"58,326",36.0,9507064.0,"15,164",510422.0,1570803.0,,0.0,0,-0.0966698679040876,-1.0148581985441063
Human,Human,Rag'n'Bone Man,7/21/2016,GBARL1600665,824,53.4,1013083048.0,170367.0,49113191.0,74.0,1900272147.0,"12,302,869","265,475","90,999,656",1070508080.0,"186,882,524",197.0,"145,288",138,92.0,"885,612",43.0,163719567.0,"94,640",3224599.0,19092054.0,,0.0,1,3.4844363295163627,-1.5652717371310376
We Still Don't Trust You,WE STILL DON'T TRUST YOU,Future,4/12/2024,USSM12403111,823,53.4,64193671.0,9077.0,15569468.0,,10688644.0,"234,397",,,265917250.0,"65,527,813",31.0,"2,523",,28.0,"1,345,845",,695510.0,733,992266.0,349821.0,,1.0,0,-1.2803245772668004,0.9558875637649457
snowfall,Snowfall - Single,ýýneheart,1/14/2022,QM3DF2191341,828,53.3,652949750.0,72344.0,19014919.0,79.0,46232838.0,"980,365","3,889,444","1,232,791,337",10888392002.0,,12.0,81,,2.0,"58,283",,764755.0,"1,548",3224599.0,1852974.0,,0.0,0,-0.08759779655351856,-0.4752677357907736
First Love,First Love - Single,Oscar Maydon,12/7/2023,QZJJE2390614,825,53.3,230291754.0,11519.0,61076412.0,78.0,113183874.0,"658,962",,,265917250.0,"2,342,845,627",8.0,"2,091",,19.0,"7,394,544",12.0,15400444.0,"5,339",3224599.0,1277194.0,,0.0,0,-0.36949625386704155,-0.5228256675151892
La_Original.mp3,La_Original.mp3,Emilia,11/2/2023,USSD12300584,829,53.3,184441175.0,17845.0,26300966.0,73.0,109532952.0,"635,058","193,100","40,676,589",529217516.0,"483,390,087",55.0,"34,836","1,320",52.0,"631,203",32.0,39845.0,57,3224599.0,400818.0,,0.0,0,-0.9220062298287045,-0.5172945865008252
OA,OA,Anuel AA,10/13/2023,QZ7B82300076,827,53.3,178950943.0,29895.0,35946086.0,80.0,113884335.0,"541,097",,,265917250.0,"687,327,384",23.0,"10,388",,16.0,"1,284,111",,1197289.0,312,1211226.0,595427.0,,1.0,0,-0.6968988299183311,0.9728697306759346
Pagodï¿½ï¿½o do Birimbola (Tchubirabi,Pagodï¿½ï¿½o do Birimbola (Tchubirabi,Os Quebradeiras,11/11/2022,BCO3K2200121,830,53.3,54513960.0,13089.0,4241209.0,52.0,183119.0,"2,667","4,650,900","503,245,598",6429494637.0,,2.0,17,,17.0,"10,926",5.0,12735768.5,,3224599.0,448872.0,,0.0,0,-1.3461310720242605,-0.5494840081935108
Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK,8/28/2020,KRA402000131,826,53.3,574505748.0,47463.0,17801611.0,58.0,1037344011.0,"21,343,581","2,161,485","204,760,050",1928057718.0,"2,185,956,346",87.0,"50,575",,33.0,"197,629",45.0,17035475.0,"44,722",3224599.0,1430212.0,,0.0,0,0.04018121550276187,-0.9702009086120986
Deja Vu,minisode 3: TOMORROW,TOMORROW X TOGETHER,4/1/2024,USA2P2408081,832,53.2,75894056.0,2524.0,11857367.0,84.0,70842688.0,"1,388,774",,"14,529,171",59546295.0,"48,470,843",9.0,290,52,5.0,"295,059",21.0,348004.0,177,3224599.0,113020.0,,0.0,0,-1.3564074447890628,-0.5381011581335817
one of wun,One of Wun,Gunna,5/10/2024,USAT22403437,831,53.2,58469975.0,7073.0,108431155.0,82.0,4436805.0,"59,189",,,265917250.0,"381,728",,,41,,,,12735768.5,,3224599.0,854584.0,,1.0,0,0.011905015277880357,1.0988621801382659
Thank You (Not So Bad),Thank You (Not So Bad),Dimitri Vegas & Like Mike,12/1/2023,GBARL2301712,838,53.1,200151839.0,32776.0,133835796.0,82.0,11597448.0,"140,956",,,265917250.0,,55.0,"26,872",,99.0,"10,753,176",39.0,1710983.0,370,3224599.0,1371435.0,,0.0,0,0.6455466248199924,-0.3471211567987116
Watch This - ARIZONATEARS Pluggnb Remix,Watch This (Lil Uzi Vert) [ARIZONATEARS Pluggnb Remix],Lil Uzi Vert,2/5/2023,USAT22301358,837,53.1,377174503.0,100095.0,41254482.0,71.0,148269610.0,,,,265917250.0,,,,,10.0,"1,314,061",8.0,196473.0,"1,346",12340277.0,854584.0,,1.0,0,0.15535138132404072,1.458821786143901
MIDDLE CHILD,MIDDLE CHILD,J. Cole,1/24/2019,QMJMT1902056,836,53.1,1285518117.0,221749.0,47461150.0,74.0,606135388.0,"5,429,579","24,013","9,483,657",72297780.0,"42,301,836",119.0,"73,534",92,33.0,"200,166",35.0,377326561.0,"178,350",3224599.0,3638588.0,,1.0,1,3.188060791117934,0.9971997446314952
TO THE MOON,TO THE MOON,JNR CHOI,11/5/2021,QZNWW2131527,834,53.1,274647899.0,96137.0,14188085.0,60.0,64640927.0,"776,716","1,905,324","583,572,613",7062611890.0,"2,031,792,442",22.0,"161,374","2,397",16.0,"56,440",8.0,139439113.0,"21,327",3308660.0,3786029.0,,1.0,0,0.1386792028359479,0.9991975893038093
Fancy Like,Country Stuff,Walker Hayes,6/4/2021,USQX92101534,835,53.1,328697441.0,56746.0,6878594.0,66.0,174775864.0,"1,192,058","796,309","174,360,135",2074178281.0,"774,476,433",53.0,"289,947","1,089",,,45.0,242860151.0,"274,465",3224599.0,2520013.0,,0.0,0,0.011607855320609988,-0.6561954222066722
The Color Violet,Alone At Prom,Tory Lanez,12/10/2021,QZTGW2100275,833,53.1,806918358.0,152298.0,19863721.0,79.0,105278538.0,"1,053,733","40,106","22,514,603",251896836.0,"3,583,107",22.0,"2,409",,2.0,"22,675",3.0,893116.0,"8,036",16338259.0,2322363.0,,0.0,0,0.7108035660569108,0.15300377496160897
S91,S91,KAROL G,7/14/2023,USUG12305255,840,53.0,240161044.0,22270.0,15087485.0,64.0,164645464.0,"1,308,408","503,900","16,972,968",257922639.0,"438,911,868",40.0,"24,578",572,19.0,"2,172,067",4.0,19801440.0,"3,668",3224599.0,614971.0,,0.0,0,-0.9034045331063808,-0.5579123051260239
LALISA,LALISA,LISA,9/10/2021,KRA402100098,839,53.0,502655066.0,33286.0,15876032.0,73.0,900358198.0,"23,155,453","909,216","188,844,723",1612602199.0,"255,397,268",19.0,"8,719",134,13.0,"16,498",25.0,2844171.0,"4,038",3224599.0,1084041.0,,0.0,0,-0.2675869388235725,-0.9177829636918502
Levitating,Future Nostalgia,Dua Lipa,3/27/2020,GBAHT1901299,841,52.9,946842175.0,145601.0,34376048.0,73.0,39855160.0,"660,222","1,493,355","552,112,407",4779580212.0,"52,496,892",269.0,"704,419",,73.0,"1,232,589",107.0,85497325.0,"33,210",3224599.0,3946971.0,,0.0,0,1.2002507053089595,-0.3281579988409743
RUBICON,Gï¿½ï¿½N,Peso Pluma,6/22/2023,QM7282306229,844,52.9,246224964.0,23436.0,13507680.0,73.0,147798315.0,"492,303","559,400","20,923,219",278318607.0,"37,990,067",22.0,"1,401",1,1.0,72,2.0,22544059.0,"10,243",3883201.0,585523.0,,1.0,0,-0.8886776447874591,0.9925932375103158
Gimme Love,Gimme Love,Sia,9/13/2023,USAT22307798,843,52.9,105947434.0,11648.0,11690122.0,6.0,27707323.0,"325,476",688,"463,074",12855128.0,"1,157,866,791",55.0,"224,009",172,40.0,"23,048,308",21.0,1319886.0,112,3224599.0,1684376.0,,0.0,0,-1.1925259514504727,-0.5311978642514138
Diz Aï¿½ï¿½ Qual ï¿½ï¿½ ,Diz Aï¿½ï¿½ Qual ï¿½ï¿½ ,Mc IG,3/7/2024,BRWMB2400220,842,52.9,71944011.0,5329.0,22615957.0,67.0,89527069.0,"935,574",,,265917250.0,"195,273,347",,7,,32.0,"9,834,159",14.0,12735768.5,,3224599.0,854584.0,,1.0,0,-1.094264054433804,0.965979324780033
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,1/19/2024,INS182400204,848,52.8,114992281.0,3618.0,12001774.0,75.0,144797885.0,"1,123,962",,,265917250.0,"1,197,864,632",19.0,555,,,,27.0,12735768.5,,3224599.0,286797.0,,0.0,0,-1.2356671726712882,-0.5840972406650276
Arjan Vailly,"Arjan Vailly (From ""ANIMAL"")",Manan Bhardwaj,11/18/2023,INS182303269,849,52.8,123276250.0,8330.0,3632731.0,,208302578.0,"1,903,455",,,265917250.0,"336,717,167",6.0,286,,,,11.0,12735768.5,,3224599.0,146801.0,,0.0,0,-1.2877733609738027,-0.6111779879689435
Demons,Continued Silence - EP,Imagine Dragons,1/1/2012,USUM71201071,847,52.8,2270796677.0,263640.0,71470111.0,80.0,1738647396.0,"12,375,429","261,866","25,465,591",296361891.0,"273,191,644",70.0,"144,439",465,88.0,"2,680,196",29.0,1087793804.0,"553,855",26345651.0,18161724.0,,0.0,1,8.036065749708056,-0.9239094053353968
Supalonely,STELLA & STEVE,BENEE,11/15/2019,USUM71922597,845,52.8,738407486.0,111662.0,26764629.0,62.0,363250356.0,"4,622,840","4,814,901","442,756,956",3587729796.0,"287,718,975",153.0,"249,364",150,115.0,"267,828",27.0,61533676.0,"36,942",3224599.0,6834164.0,,1.0,0,0.9257828075357273,0.8944855407180949
Lean On (feat. Mï¿½ï¿½ & DJ Sn,Full Circle: The Live Anthology,Major Lazer,11/20/2011,QMUY41500008,846,52.8,2080878370.0,242511.0,79506771.0,76.0,308933095.0,"2,370,617","270,919","33,270,068",289518843.0,"216,000",497.0,"168,731",,250.0,"2,469,856",96.0,649970533.0,"356,393",231244214.0,26993119.0,,1.0,1,8.1521324131634,7.618533081996428
Spin Bout U,Her Loss,Drake,11/4/2022,USUG12208603,856,52.6,356685934.0,88034.0,16963292.0,71.0,56086730.0,"430,375","76,706","32,337,952",229937284.0,"258,434",37.0,412,93,3.0,"171,037",37.0,48943722.0,"16,367",13209166.0,1574072.0,,1.0,0,-0.13579134587881472,1.4421804923960704
From The Start,From The Start - Single,Laufey,5/11/2023,QM6N22309399,855,52.6,368256958.0,53922.0,25450036.0,73.0,69276606.0,"1,394,619","224,617","128,900,059",772554264.0,"9,780",27.0,"8,642",319,13.0,"766,548",89.0,855743.0,"7,084",5861183.0,1011059.0,,0.0,0,-0.471152788570435,-0.348290690645833
ZOOM,ZOOM,Jessi,4/13/2022,KRA382204517,850,52.6,166161044.0,22288.0,7774873.0,61.0,303569838.0,"5,827,005","3,903,605","865,870,535",9393168416.0,"146,065,235",5.0,"5,680",32,5.0,"53,217",8.0,12735768.5,,3224599.0,778299.0,,0.0,0,-0.9658277900573733,-0.7093817086835975
Can't Feel My Face,Your Songs 2015,The Weeknd,3/2/2015,USUG11500741,851,52.6,1747534539.0,212829.0,101243254.0,76.0,1689190795.0,"8,927,108","552,005","26,588,465",264572676.0,"238,111,307",433.0,"158,190",474,149.0,"1,452,991",97.0,552312888.0,"221,611",4197860.0,14056461.0,,0.0,1,5.781271945956612,-1.3283886247399082
Quï¿½ï¿½ Onda Per,Quï¿½ï¿½ Onda Per,Grupo Firme,3/30/2023,QZDQH2362804,852,52.6,213405904.0,17694.0,13723182.0,70.0,401470868.0,"961,314",,,265917250.0,"534,052,740",15.0,"9,254",,10.0,"1,737,734",4.0,7260620.0,"8,781",3224599.0,655854.0,,0.0,0,-0.9069901549664933,-0.6865301689840767
Sexy And I Know It,Sorry For Party Rocking (Japan Version),LMFAO,1/1/2011,USUM71108090,853,52.6,436722440.0,107912.0,33797077.0,62.0,1193724016.0,"7,130,332","652,850","62,596,716",927660445.0,"222,701,064",57.0,"5,186",258,37.0,"157,088",5.0,840489680.0,"3,395,379",2154867.0,6761782.0,,0.0,1,3.039979244587323,-1.4403297732296336
WHATS POPPIN,WHATS POPPIN,Jack Harlow,1/21/2020,USAT22000162,854,52.6,819779577.0,161131.0,28874159.0,70.0,709454117.0,"7,190,778","748,490","210,602,527",2078817404.0,"52,474,731",68.0,"88,990",430,34.0,"65,099",24.0,131616894.0,"84,304",3224599.0,3222518.0,,1.0,1,1.4834443470542042,0.8916390351321415
POR EL CONTRARIO,ESQUINAS,Becky G,9/28/2023,USRC12302408,857,52.5,131938548.0,5913.0,9167049.0,75.0,118669957.0,"649,548","836,833","46,373,944",589093596.0,"353,950,794",10.0,"7,049",108,22.0,"6,520,222",11.0,13424036.0,"7,230",3224599.0,684079.0,,0.0,0,-1.2262522720518279,-0.5799782658193738
Danza Kuduro - Cover,DON'T STOP WORKOUT -DJMIX-,DJ MIX NON-STOP CHANNEL,12/21/2023,TCJPY2352543,859,52.4,1648192461.0,15.0,52.0,,148269610.0,,,,265917250.0,,,,,,,,12735768.5,,3224599.0,854584.0,,1.0,0,0.05475752871251046,0.9340573678859843
Rara Vez,Rara Vez,Taiu,2/8/2023,ARUM72300004,860,52.4,544165928.0,58646.0,20499657.0,77.0,200445038.0,"1,806,923","302,386","150,768,049",1522432243.0,"18,292,788",15.0,"12,021",281,16.0,"403,215",14.0,26771.0,204,3224599.0,943365.0,,0.0,0,-0.3067554700900093,-0.4916484443060793
That That (prod. & feat. SUGA of BTS),PSY 9th,PSY,4/29/2022,QZEKE2084402,858,52.4,269491606.0,26075.0,16176936.0,66.0,746615342.0,"15,669,340","304,900","324,925,866",2432918911.0,"300,796,672",12.0,"11,171",243,5.0,"37,462",16.0,2505495.0,"1,683",3224599.0,797357.0,,0.0,0,-0.6082707761900532,-0.859152711184328
Espresso,Espresso,Sabrina Carpenter,4/11/2024,USUM72404979,861,52.4,536986458.0,637.0,1907453.0,,148269610.0,,,,265917250.0,,29.0,,,3.0,"157,807",1.0,12735768.5,,22436.0,854584.0,,0.0,0,-0.9891009580365876,-0.7056574045414414
