Cluster,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Views,TikTok Views,Shazam Counts,Apple Music Playlist Count,Pandora Streams,Explicit Track
0,0.3148192254540391,0.2822401628086883,0.26669938343036514,0.059603523188360034,0.006215573667214474,0.037360128538480544,0.18147767265414322,0.18089294799265443,0.0
1,0.06057441776011296,0.07245475498278618,0.05920512584044417,0.009504840417540779,0.003137417698308276,0.00458085044564249,0.030258375085961246,0.0176421087722145,1.0
2,0.058767601767233994,0.04818074369320412,0.0499713398354257,0.02152219980089876,0.003969706632389959,0.006228818782332203,0.035131808194538774,0.020003825952638013,0.0
3,0.26662364081947254,0.29917157477385686,0.20647803992056826,0.038777294907042924,0.006327880854597909,0.024022588215891472,0.1510435614481857,0.14469203056557237,1.0
