Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,USRC12300907,21,290.5,0.2488394978877954,0.2894505505673359,0.4639422602922376,78.0,0.01476281102805717,"2,749,668","3,091,732","652,428,798",0.030422731923675474,"1,063,591,802",0.182983682983683,"400,899",273,143.0,"13,718,632",146.0,0.048025635020298225,"49,111",,0.03439491686740792,,1.0
Espresso,Espresso,Sabrina Carpenter,4/12/2024,USUM72403305,22,281.5,0.1279658857466705,0.04136919431359895,0.9999999999999999,95.0,0.006588918033133169,"1,825,761","209,200","169,144,295",0.005914699264690962,"422,646,034",0.34615384615384615,"37,208",236,167.0,"41,414,565",149.0,0.007080299113507114,"10,848","1,551,157",0.0062471250992210715,,1.0
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,5/21/2024,TCJPA2445163,23,279.0,0.3866838387501734,1.5244134819128341e-05,2.492915650220652e-06,,0.009083557963613114,,,,0.0011401388999390325,,0.031468531468531465,,,,,,0.008701528632515814,,,0.003888099277733657,,1.0
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,USSM12401302,24,278.9,0.09966206520319314,0.057661786849731785,0.5829329932518641,86.0,0.002188566917468285,"437,980","1,470,500","485,200,392",0.02794897548989537,"1,213,175,656",0.18414918414918416,"309,497",257,194.0,"40,725,482",177.0,0.009470009108712091,"36,282",,0.009557594018872406,,1.0
Future,Future,official sound studio,1/10/2024,RUA1H2415548,25,277.5,0.0560204277278658,0.0,3.811797630306807e-09,,0.009083557963613114,,"9,453,333","273,236,305",0.018463435226186282,,0.031468531468531465,,,,,,0.008701528632515814,,,0.003888099277733657,,0.0
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,BXWEH2200054,26,268.1,0.001724102248378334,0.005933356030156286,0.002519914612836115,35.0,0.0002593339686534284,"69,990","37,621,885","1,636,811,753",0.09826537569818178,,0.0,,439,1.0,6,1.0,0.008701528632515814,,,0.0028823463687283005,,0.0
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,USSM12103949,27,266.3,0.7257089233701693,0.7651386962199627,0.513805612493118,78.0,0.07700738138636898,"14,661,425","7,485,966","2,246,991,336",0.10166849036992645,"4,327,058,646",0.5967365967365967,"1,510,151","4,096",166.0,"5,783,693",128.0,0.13444947574484395,"124,922","36,341,585",0.003888099277733657,,1.0
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12/1/2015,KRE671700001,28,265.7,0.16835857609909968,0.1032265058241064,0.028705763616790333,71.0,0.9999999999999999,"48,757,673","7,743,800","281,762,094",0.028202092297058577,"2,166,611",0.037296037296037296,284,142,19.0,"52,179",17.0,0.05907175789551,"2,234,137",,0.009392494377772129,,0.0
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,3/8/2024,USUM72317276,29,262.8,0.13805249541896047,0.04438075783675564,0.7528109501266571,87.0,0.00961118970600344,"3,080,503",,,0.0011401388999390325,"578,568,464",0.22494172494172496,"200,230",32,117.0,"22,062,193",126.0,0.006905168757063345,"7,689","1,612,479",0.007188436007660282,,0.0
Numb / Encore,Papercuts,JAY-Z,4/12/2024,USWB12400678,30,256.0,0.2343155857394638,0.00021511168022547768,0.0018504485950253304,,0.009083557963613114,,,,0.0011401388999390325,,0.031468531468531465,,,,,,0.12289202278824826,"87,209",,0.02035649729646153,,1.0
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,5/14/2024,TCJPA2406007,31,249.8,0.38423231374508515,0.05472898468980726,0.05054245444310051,,0.009083557963613114,,,,0.0011401388999390325,,0.031468531468531465,,,,,,0.008701528632515814,,,0.003888099277733657,,1.0
SHEESH,BABYMONS7ER,BABYMONSTER,4/1/2024,KRA402400016,32,237.5,0.029170447201480185,0.005891011211214263,0.09886408316262929,82.0,0.022048677925065267,"4,907,193","212,500","48,327,004",0.001672501149540166,"38,798,822",0.04079254079254079,"2,188",32,3.0,"347,997",26.0,8.932690112870317e-05,592,"265,670",0.0008729334143338282,,0.0
Water,Water,Tyla,7/28/2023,USSM12305126,33,234.6,0.15657600686450965,0.16675220320092954,0.5735650736540505,83.0,0.016246032398945346,"2,566,846","2,114,363","369,150,956",0.016862828038919978,"3,031,114,430",0.26107226107226106,"486,952","1,215",180.0,"19,469,488",188.0,0.027615377219674955,"27,555","6,049,784",0.029332552761933462,,0.0
Strangers,Strangers,Kenya Grace,9/1/2023,USWB12305048,34,233.5,0.1752095193747895,0.23567432430372412,0.39596710590938294,79.0,0.007241864400386028,"1,495,758","1,031,447","196,985,853",0.009568782975149015,"1,745,168,821",0.18881118881118883,"378,114",856,113.0,"16,295,286",112.0,0.013820704247368946,"5,331","10,938,075",0.034022300699350395,,0.0
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,USSM12401865,35,231.6,0.12425919395286315,0.039898982199931904,0.2572538346903339,,0.003805863811386952,"923,733",,,0.0011401388999390325,"384,716,227",0.2564102564102564,"151,990",64,42.0,"658,517",47.0,0.021202832237435215,"23,005","1,516,649",0.003888099277733657,,0.0
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4/26/2024,GBAYE2300351,36,230.0,0.11197488181698043,1.0162756546085561e-05,5.786308802805733e-06,,0.009083557963613114,,,,0.0011401388999390325,,0.031468531468531465,,,,,1.0,0.0828428036185831,"83,632",,0.016797805652517067,,0.0
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,USUYG1541249,37,226.4,0.072855262861289,0.04364057040164907,0.6870287305441132,96.0,0.003840892823187434,"837,616",,"27,811,667",0.0016220476513642693,"243,895,569",0.1724941724941725,,141,58.0,"26,516,005",146.0,0.014657474460000347,"30,180","4,482,348",0.007767308434801807,,1.0
Lose Control,Lose Control,Teddy Swims,6/23/2023,USWB12302315,38,224.1,0.18104401330255152,0.1494568853522496,0.6884771793374511,87.0,0.008526749407549576,"1,504,385","396,560","49,060,857",0.0025618816376712255,"4,016,801,205",0.24941724941724944,"605,841",162,133.0,"42,675,181",120.0,0.1732268505420102,"72,429","5,409,388",0.04785300810608845,,0.0
fukumean,fukumean,Gunna,6/15/2023,USAT22306575,39,221.1,0.17750867653467114,0.31867186322284724,0.3064403641039769,80.0,0.005801632768203146,"1,222,012","1,237,229","311,252,391",0.014070907618595424,"140,623,676",0.1421911421911422,"265,291","4,003",40.0,"2,225,409",88.0,0.04403917617803055,"20,518","33,130,829",0.017949412956760318,,1.0
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,QZES71982312,40,214.5,0.7173271613338774,0.6355110426818836,0.2473900573977819,71.0,0.20624253905620035,"27,240,268","10,342,366","393,814,740",0.02513348123468508,"2,428,166,573",0.6386946386946387,"573,733",169,584.0,"5,749,770",121.0,0.255047844626105,"844,198","37,430,204",0.2040206940170516,,0.0
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401994,41,212.8,0.05003811579658627,0.018411527275991674,0.772372493301366,92.0,0.000675916018224982,"251,373","251,200","71,078,500",0.0018998426000952752,"148,058,631",0.2867132867132867,"3,400",8,67.0,"11,523,335",125.0,0.0005742184990523806,"2,592","1,369,981",0.0013005645972773972,,0.0
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,4/8/2023,KRA252300672,42,211.2,0.03993246172020766,0.04713147727522946,0.02204951492340309,41.0,0.0013649119357440906,"334,523","14,348,249","948,225,544",0.052295436702082095,,0.0011655011655011655,672,,4.0,"35,737",9.0,0.0001848890100323243,"3,170",,0.003888099277733657,,1.0
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,UKWLG2200055,43,209.6,0.38730372081342335,0.44419206932355,0.914669570910858,83.0,0.028553988445476228,"4,324,989","728,093","54,258,768",0.004509822864970192,"1,425,853,925",0.331002331002331,"935,190","2,487",207.0,"6,479,623",168.0,0.09560309483875169,"31,235","8,007,236",0.04992443806907634,,1.0
Daylight,Daylight,David Kushner,4/14/2023,QZXDB2300005,44,207.0,0.2631852183358632,0.3011546585229111,0.32497742948857644,82.0,0.0167906200405766,"3,701,289","2,557,115","285,329,503",0.011055580579876526,"1,205,538,057",0.18881118881118883,"259,255",96,77.0,"3,413,707",80.0,0.019762372159613906,"14,634","9,505,098",0.0394975640477915,,0.0
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,USJ5G2335007,45,206.2,0.23302785745281243,0.17941669165010984,0.35386442502369975,86.0,0.0029463283684927686,"959,175","3,648,759","857,220,853",0.02345218906049097,"298,259,422",0.1048951048951049,"36,285","2,676",63.0,"10,874,749",110.0,0.004202763023622677,"9,160","7,980,051",0.012203296658749606,,0.0
Please Please Please,Please Please Please,Sabrina Carpenter,6/6/2024,USUM72404101,46,205.7,0.013853513529140764,0.004354741179997662,0.6977232357650237,83.0,0.0013707179406907155,"1,026,097",,"188,200",5.145003248351892e-06,"110,446,147",0.23076923076923078,"2,359",2,73.0,"13,686,074",98.0,0.000246074804670416,758,"9,883",0.00021435473133814213,,1.0
Houdini,Houdini - Single,Dua Lipa,11/9/2023,GBAHT2301246,47,205.1,0.11529364238342281,0.0767271181301883,0.3349579240245685,80.0,0.009224581578159976,"1,575,378","93,500","35,970,610",0.001657617770052528,"3,129,834,452",0.20163170163170163,"564,640",405,146.0,"28,246,184",127.0,0.017657498289207183,"3,694","1,991,527",0.01087359121046782,,0.0
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,5/2/2024,TCJPA2415647,48,204.4,0.3866838387501734,1.3550342061447413e-05,3.2019100094577183e-07,,0.009083557963613114,,,,0.0011401388999390325,,0.031468531468531465,,,,,,0.008701528632515814,,,0.003888099277733657,,1.0
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2/10/2023,GBUM72300969,49,203.6,0.0712205360400704,0.07439476550286167,0.1758499726463496,69.0,0.0037975149147307192,"921,044","13,872,768","390,207,653",0.024374049550869997,"19,218,089",0.08974358974358974,"92,638",822,41.0,"3,467,570",36.0,0.005086246051898515,"7,188",,0.010134432728543369,,1.0
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/2017,USUM71607007,50,203.5,0.4080592164250171,0.3016865094488229,0.18854923184215797,74.0,0.5842846034808024,"61,799,279","799,338","78,304,409",0.0049019668197839315,"569,548,901",0.20745920745920748,"121,234",116,145.0,"1,977,014",118.0,0.18215305743259516,"2,359,900",,0.08927678468012186,,0.0
euphoria,euphoria,Kendrick Lamar,4/30/2024,USUG12402839,51,202.1,0.039340072799414955,0.02907734027110847,0.23829986537531248,86.0,0.0032839940862725557,"1,846,535",,,0.0011401388999390325,"174,375,427",0.07459207459207459,"6,408",77,20.0,"428,378",31.0,0.002156786791943656,"4,843","4,304,870",0.0029776945052621007,,1.0
Panda Basi,Panda Basi - EP,Mvua,2/10/2023,GX3Q92333626,52,200.3,2.4103884102476842e-05,0.0004200606039048698,3.2720470858553636e-05,25.0,0.15052763895318258,,190,"36,666",1.6874205703462129e-06,,0.031468531468531465,12,,,,,0.008701528632515814,,,8.553442605503827e-06,,0.0
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,NGA3B2214021,53,198.0,0.32504911051355234,0.2775702881649619,0.49920489141459784,77.0,0.055305714782445184,"8,099,187",599,"48,035",1.2253452286717972e-05,"750,030,685",0.36713286713286714,"1,107,265",,112.0,"11,937,930",146.0,0.03557871115892664,"41,487","5,820,026",0.016023828289603297,,0.0
Shape of You,Shape of You,Ed Sheeran,1/6/2017,GBAHS1600463,54,195.1,0.9131115737644571,0.5358770712968185,0.5642904439914411,80.0,0.4909707945010967,"45,770,887","2,270,315","194,420,058",0.009950835275056847,"2,294,804,623",0.5407925407925408,"402,829",282,512.0,"2,710,931",115.0,0.501198144093617,"651,557","78,149,375",0.005215074903907305,,0.0
Mitu,Mitu - Single,Maian,1/19/2023,EEUM72300001,55,194.3,1.2676727806801653e-05,6.9445503064918e-05,6.426690804697278e-05,13.0,0.149010689024931,"8,162,101",,,0.0011401388999390325,,0.031468531468531465,53,,,,,0.008701528632515814,,,9.053909991996071e-07,,0.0
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,USUG11904206,56,194.0,1.0,0.9999999999999999,0.6310202650294864,83.0,0.05108244191651913,"10,093,211","2,882,064","337,322,563",0.015011545155657589,"2,258,085,924",1.0,"1,695,240","1,116",564.0,"11,701,129",184.0,0.33430699844592127,"319,634","28,659,471",0.13191710192694414,,0.0
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208791,57,192.3,0.31242063602008546,0.3866827238220095,0.247030109347552,80.0,0.011884116521408132,"2,023,998","423,714","148,085,419",0.005440338223911394,"444,033,037",0.175990675990676,"952,186",34,58.0,"2,134,791",66.0,0.05287041742436096,"28,694",,0.02823117873418349,,1.0
Dona Felicidade,Dona Felicidade,Patati Patatï¿,6/4/2024,QZNJW2423715,58,190.0,0.0560204277278658,1.6937927576809267e-06,0.00015706512135679198,,0.0032150916886218737,"82,092",,,0.0011401388999390325,,0.031468531468531465,,,1.0,"1,657",,0.008701528632515814,,,0.003888099277733657,,0.0
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,4/29/2024,TCJPA2420090,59,190.0,0.3866838387501734,0.0,7.623595260613614e-09,,0.009083557963613114,,,,0.0011401388999390325,,0.031468531468531465,,,,,,0.008701528632515814,,,0.003888099277733657,,1.0
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,GBUM72205415,60,189.1,0.36349094413068633,0.3566822664979649,0.36583398798734085,74.0,0.015564222032847361,"3,364,206","2,379,787","683,088,623",0.03406893242966406,"1,524,133,775",0.23543123543123545,"718,849",117,63.0,"1,616,564",167.0,0.07611158185396327,"71,335","10,424,892",0.046372780266763856,,0.0
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,6/5/2024,ROCMA2413380,61,187.9,0.0560204277278658,1.6937927576809267e-06,5.107808824611121e-07,9.0,0.009083557963613114,,,,0.0011401388999390325,,0.031468531468531465,,,,,,0.28712017787906774,"885,123",,0.003888099277733657,,0.0
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,12/31/2023,RUA1H2406425,62,186.5,7.3105772520109e-08,1.6937927576809267e-06,3.0494381042454457e-06,,1.3549366592913183e-05,"5,430","5,013,500","605,320,683",0.03777957108278136,,0.031468531468531465,,,,,,0.008701528632515814,,,0.003888099277733657,,0.0
Supernova,Supernova,aespa,5/13/2024,KRA302400090,63,186.1,0.016285995297964238,0.00420399362456406,0.08022414879538066,81.0,0.006819305480110794,"1,724,693","56,600","61,038,623",0.0016891892318041644,"32,059,104",0.045454545454545456,709,13,7.0,"544,322",14.0,3.1096100313372756e-05,100,"255,951",0.00028791433774547504,,0.0
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214877,64,184.8,0.42321692175420667,0.2936308310932924,0.2576915091060434,79.0,0.09292929700527829,"8,870,768","4,506,600","549,886,060",0.027744600278309627,"934,894,575",0.14335664335664336,"77,120",327,44.0,"14,871,714",63.0,0.07606102310531807,"39,123",,0.015441325199057946,,1.0
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,3/29/2024,USCM52400059,65,181.4,0.04669631009513672,5.08137827304278e-06,3.697443701397603e-07,,0.009083557963613114,,,,0.0011401388999390325,,0.0,,,,,,0.2666977960633266,"399,793",,0.003888099277733657,,1.0
Calm Down,Calm Down,Rema,2/10/2022,NGA3B2214004,66,180.1,0.1365013273279085,0.30995221810630585,0.07319892952677261,68.0,0.06995779518145653,"8,766,235","6,129,450","856,216,952",0.07810520181451742,"2,952,879,912",0.15967365967365968,"191,634",759,53.0,"3,481,756",45.0,0.06715581887603062,"46,039","14,668,216",0.1026568075562131,,0.0
CARNIVAL,CARNIVAL,ýý$,2/8/2024,QZ7XS2400012,67,179.6,0.10904811673843855,0.09119549586629878,0.39618155764406404,84.0,0.0016962670769117428,"449,112",,,0.0011401388999390325,"33,817,299",0.047785547785547784,"53,333",,11.0,"199,915",29.0,0.0009288464536775124,"11,303","11,703,609",0.00901750781418403,,1.0
Kill Bill,SOS,SZA,12/8/2022,USRC12204584,68,177.7,0.437640925872146,0.32216107630366997,0.3794504152463702,82.0,0.01351102331229765,"3,153,793","266,430","152,410,048",0.005507015443305731,"426,461,749",0.24825174825174826,"655,242","5,448",73.0,"1,304,067",122.0,0.03918396145011122,"61,270","16,992,932",0.02217448602522623,,0.0
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,USUM72307484,69,177.6,0.20827418238422848,0.19403920452716927,0.37181244188509505,82.0,0.008867418355977126,"2,761,964","1,443,103","498,822,693",0.017142076808512683,"1,384,310,160",0.19463869463869465,"275,119",68,108.0,"10,920,686",111.0,0.026902121649421584,"19,921","5,418,596",0.020366784176105702,,0.0
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,3/3/2023,QZA742305720,70,176.2,1.0626262704712077e-05,0.0004251419821779126,8.358891023499797e-05,6.0,0.12488449332383872,"6,076,902",,,0.0011401388999390325,,0.0011655011655011655,29,,,,,9.934245129005776e-07,,,4.103832569236411e-06,,0.0
Heat Waves,Heat Waves,Glass Animals,6/29/2020,GBUM72000433,71,175.0,0.6998020895240916,0.823652460826808,0.4285089025658136,82.0,0.07798298215803187,"14,947,520","1,416,295","513,334,446",0.023660657975878255,"4,899,313,022",0.5337995337995338,"1,414,326","1,434",170.0,"11,862,378",95.0,0.08352393413576076,"160,431",,0.08120664342975359,,0.0
In the End,Papercuts,Linkin Park,4/12/2024,USWB11201322,72,174.8,0.4777593847936138,0.00016260410473736896,0.0018624481339655362,,0.009083557963613114,,,,0.0011401388999390325,,0.031468531468531465,,,,,2.0,0.008701528632515814,,,0.003888099277733657,,0.0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/2023,UYB282301031,73,174.3,0.22117192435663313,0.1695977750338335,0.2852609072368819,74.0,0.047567653711739606,"12,951,756","4,210,895","797,017,650",0.05117816224989897,"457,987,382",0.12703962703962704,"165,670",180,106.0,"4,971,379",92.0,0.033346448700482915,"10,225",,0.010181149084220664,,0.0
The Way We Move - Extended Mix,The Way We Move,PowerDress,3/10/2023,UKACT2330463,74,173.6,1.5971158865575255e-06,6.26703320341943e-05,5.7260824002468855e-05,4.0,0.12248992889750937,"5,708,577",,,0.0011401388999390325,,0.031468531468531465,59,,,,,0.008701528632515814,,,6.4196316576414355e-06,,0.0
