,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Views,TikTok Views,Shazam Counts,Apple Music Playlist Count,Pandora Streams,Explicit Track
Spotify Streams,1.0,0.7987041120296945,0.5788077979315508,0.42625417357086715,0.03979851843201455,0.41697415942105076,0.7030109767305425,0.5438879368946699,0.002725653893042246
Spotify Playlist Count,0.7987041120296945,1.0,0.6119806209918099,0.32599564369265194,0.05820090119367764,0.43075974076728246,0.6853312333075456,0.5205313877385114,0.12548660064408465
Spotify Playlist Reach,0.5788077979315508,0.6119806209918099,1.0,0.20027552814098978,0.032696528431714736,0.3059374312050462,0.6675805592237567,0.34496095625884937,0.011171461426038832
YouTube Views,0.42625417357086715,0.32599564369265194,0.20027552814098978,1.0,0.008913435503126017,0.23725568969380362,0.32647430488131907,0.3261221921640757,-0.14337775219172733
TikTok Views,0.03979851843201455,0.05820090119367764,0.032696528431714736,0.008913435503126017,1.0,0.033025877143284164,0.051225515942968196,-0.012453968302130818,-0.011811661111229764
Shazam Counts,0.41697415942105076,0.43075974076728246,0.3059374312050462,0.23725568969380362,0.033025877143284164,1.0,0.4440683681593745,0.33006783235834863,-0.05495473969697801
Apple Music Playlist Count,0.7030109767305425,0.6853312333075456,0.6675805592237567,0.32647430488131907,0.051225515942968196,0.4440683681593745,1.0,0.47263508806614013,-0.029621787298650046
Pandora Streams,0.5438879368946699,0.5205313877385114,0.34496095625884937,0.3261221921640757,-0.012453968302130818,0.33006783235834863,0.47263508806614013,1.0,-0.016710208490850573
Explicit Track,0.002725653893042246,0.12548660064408465,0.011171461426038832,-0.14337775219172733,-0.011811661111229764,-0.05495473969697801,-0.029621787298650046,-0.016710208490850573,1.0
